"","X","ISO3","Country","Province","Market","Address","latitude","longitude","ID","local_consumption"
"1939",1939,"YEM","Yemen","Sana'a","Bani Matar","Bani Matar, Yemen",15.2039969,43.9955449,"YEM1939",8480000.78125
"1940",1940,"YEM","Yemen","Shabwah","Attaq Town","Attaq Town, Yemen",14.5295644,46.8301274,"YEM1940",2272797.80859375
"1941",1941,"YEM","Yemen","Taizz","Taizz City","Taizz City, Yemen",13.5775886,44.0177989,"YEM1941",62080698.875
"1942",1942,"YEM","Yemen",NA,"Dhamar","Dhamar, Yemen",14.5455447,44.4087348,"YEM1942",19793177.0625
"1943",1943,"YEM","Yemen",NA,"Hadramout","Hadramout, Yemen",16.9304135,49.3653149,"YEM1943",7928.37763977051
"1944",1944,"ZMB","Zambia","Central","Chibombo","Chibombo, Zambia",-14.6554285,28.0888578,"ZMB1944",32162715.1171875
"1945",1945,"ZMB","Zambia","Central","Kabwe","Kabwe, Zambia",-14.4285061,28.451357,"ZMB1945",203289781.109375
"1946",1946,"ZMB","Zambia","Central","Kabwe Rural","Kabwe Rural, Zambia",-14.4285061,28.451357,"ZMB1946",203289781.109375
"1947",1947,"ZMB","Zambia","Central","Kabwe Urban","Kabwe Urban, Zambia",-14.4254441,28.4379907,"ZMB1947",204179332.09375
"1948",1948,"ZMB","Zambia","Central","Kapiri-Mposhi","Kapiri-Mposhi, Zambia",-13.9778684,28.6848112,"ZMB1948",20981649.6660156
"1949",1949,"ZMB","Zambia","Central","Mambwe","Mambwe, Zambia",-13.3426605,31.8107079,"ZMB1949",15789804.3886719
"1950",1950,"ZMB","Zambia","Central","Mkushi","Mkushi, Zambia",-13.6211552,29.3889082,"ZMB1950",20780545.5253906
"1951",1951,"ZMB","Zambia","Central","Mumbwa","Mumbwa, Zambia",-14.9848228,27.0617553,"ZMB1951",12915315.5068359
"1952",1952,"ZMB","Zambia","Central","Serenje","Serenje, Zambia",-13.2325565,30.2339635,"ZMB1952",17695030.7275391
"1953",1953,"ZMB","Zambia","Copperbelt","Chililabombwe","Chililabombwe, Zambia",-12.3723284,27.8370041,"ZMB1953",187186344.390625
"1954",1954,"ZMB","Zambia","Copperbelt","Chingola","Chingola, Zambia",-12.5419553,27.8545867,"ZMB1954",210372050.625
"1955",1955,"ZMB","Zambia","Copperbelt","Kalulushi","Kalulushi, Zambia",-12.8426423,28.0947106,"ZMB1955",485547690.0625
"1956",1956,"ZMB","Zambia","Copperbelt","Kitwe","Kitwe, Zambia",-12.8231947,28.2175744,"ZMB1956",617978784.71875
"1957",1957,"ZMB","Zambia","Copperbelt","Luanshya","Luanshya, Zambia",-13.1435017,28.4163103,"ZMB1957",219488764.953125
"1958",1958,"ZMB","Zambia","Copperbelt","Lufwanyama","Lufwanyama, Zambia",-12.9106795,27.3616476,"ZMB1958",10000841.1904297
"1959",1959,"ZMB","Zambia","Copperbelt","Masaiti","Masaiti, Zambia",-13.3302146,28.7664408,"ZMB1959",48584867.15625
"1960",1960,"ZMB","Zambia","Copperbelt","Mpongwe","Mpongwe, Zambia",-13.5119941,28.1561533,"ZMB1960",14520563.6005859
"1961",1961,"ZMB","Zambia","Copperbelt","Mufulira","Mufulira, Zambia",-12.5502705,28.2409671,"ZMB1961",241298242.140625
"1962",1962,"ZMB","Zambia","Copperbelt","Ndola","Ndola, Zambia",-12.9906407,28.6498144,"ZMB1962",446380780.5625
"1963",1963,"ZMB","Zambia","Copperbelt","Ndola Rural","Ndola Rural, Zambia",-12.9906407,28.6498144,"ZMB1963",446380780.5625
"1964",1964,"ZMB","Zambia","Eastern","Chadiza","Chadiza, Zambia",-14.06355,32.4382307,"ZMB1964",79393804.9882812
"1965",1965,"ZMB","Zambia","Eastern","Chama","Chama, Zambia",-11.2166885,33.1604555,"ZMB1965",7831171.59228516
"1966",1966,"ZMB","Zambia","Eastern","Chipata","Chipata, Zambia",-13.6445104,32.6447001,"ZMB1966",212679159.21875
"1967",1967,"ZMB","Zambia","Eastern","Katete","Katete, Zambia",-14.0584127,32.043969,"ZMB1967",90472956.359375
"1968",1968,"ZMB","Zambia","Eastern","Lundazi","Lundazi, Zambia",-12.2848978,33.1745097,"ZMB1968",95712227.7734375
"1969",1969,"ZMB","Zambia","Eastern","Nyimba","Nyimba, Zambia",-14.1700712,31.1710389,"ZMB1969",43290105.9609375
"1970",1970,"ZMB","Zambia","Eastern","Petauke","Petauke, Zambia",-14.2412572,31.3198491,"ZMB1970",72991486.96875
"1971",1971,"ZMB","Zambia","Luapula","Chiengi","Chiengi, Zambia",-8.6635273,29.1608696,"ZMB1971",42692102.953125
"1972",1972,"ZMB","Zambia","Luapula","Kawambwa","Kawambwa, Zambia",-9.7936959,29.0809012,"ZMB1972",25024713.9746094
"1973",1973,"ZMB","Zambia","Luapula","Mansa","Mansa, Zambia",-11.1892053,28.8888064,"ZMB1973",25830326.3867188
"1974",1974,"ZMB","Zambia","Luapula","Milenge","Milenge, Zambia",-12.4048708,29.4994117,"ZMB1974",13348497.3710938
"1975",1975,"ZMB","Zambia","Luapula","Mwense","Mwense, Zambia",-10.3869996,28.7023068,"ZMB1975",48199441.0507812
"1976",1976,"ZMB","Zambia","Luapula","Nchelenge","Nchelenge, Zambia",-9.353427,28.7402073,"ZMB1976",47608877.6445312
"1977",1977,"ZMB","Zambia","Luapula","Samfya","Samfya, Zambia",-11.3620219,29.5513689,"ZMB1977",25256389.0664062
